순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788936478902,104998802,장면들,"16,650원",920원,손석희,창비,"대한민국 대표 언론인 손석희 한국사회를 뒤흔든 사건들의 중심에서 그가 직접 하고 싶었던 말들 손석희가 드디어 독자를 만난다. JTBC 「뉴스룸」 앵커석에서 내려온 지 1년 10개월 만에 저널리즘 에세이로 찾아왔다. 손석희 앵커는 그동안 「뉴스룸」 「100분토론」 「손석희의 시선집중」 등 대표적인 뉴스·시사 프로그램을 진행하며 10년 이상 가장 신뢰받는 언론인으로 손꼽혀왔다. 특히 JTBC 보도부문 사장으로 자리를 옮긴 2013년 이후 「뉴스룸」을 중심으로 세월호참사와 국정농단 등 한국사회를 뒤흔든 사건의 핵심 보도를 주도하면서 크게 주목받았다. 우리 사회가 더 큰 변화를 꿈꾸었던 그 시간, TV 화면에는 어김없이 손석희가 있었다. 이 책에는 그 변화의 시간을 되짚으며 손석희만이 남길 수 있는 기록이 담겨 있다.",1,국내도서-사회 정치
2,9791164136452,94489333,공정하다는 착각,"16,200원",900원,마이클 샌델/함규진,와이즈베리,"또 다시 ‘공정’이 화두다. 언론 미디어를 통해, 부유층과 빈곤층, 청년과 장년, 정치인의 입을 통해 끊임없이 쏟아져 나온다. 기업은 정규직·비정규직 논란에서 비롯된 ‘공정 채용’ 문제로 혼란에 빠져 있고, 정치권에선 ‘공정경제3법’과 ‘재난지원금’ 등에 대한 각기 다른 해석으로 떠들썩하다. 대통령은 “하나의 공정이 또 다른 불공정을 부르는 상황”을 언급하며 어려움을 토로하기도 했다. 이렇듯 ‘공정’이라는 하나의 화두를 두고 각계각층이 충돌하고 있는 상황에서, 마이클 샌델 하버드대 교수가 『돈으로 살 수 없는 것들』 이후 8년 만에 쓴 신간 『공정하다는 착각』이 출간되었다.",1,국내도서-사회 정치
3,9788970127248,1940233,"총, 균, 쇠","25,200원","1,400원",재레드 다이아몬드/김진준,문학사상,"왜 어떤 민족들은 다른 민족들의 정복과 지배의 대상으로 전락하고 말았는가. 왜 원주민들은 유라시아인들에 의해 도태되고 말았는가. 왜 각 대륙들마다 문명의 발달 속도에 차이가 생겨났는가. '인간 사회의 다양한 문명은 어디서 비롯되는가?'라는 의문을 명쾌하게 분석하여 1998년 퓰리처 상을 수상한 책. 2005년 12월 새롭게 개정신판이 출간되었다. 진화생물학자인 재레드 다이아몬드는 총기와 병균과 금속이 역사에 미친 엄청난 영향에 대해 분석한다. 일단 수렵 채집 단계를 넘어서 농경을 하게 된 사회들은 문자와 기술, 정부,...",1,국내도서-사회 정치
4,9788937834790,15156691,정의란 무엇인가,"13,500원",750원,마이클 샌델/김명철/김선욱,와이즈베리,"한국에 ‘정의’ 열풍을 불러일으킨 마이클 샌델은 구제 금융, 대리 출산, 동성 결혼, 과거사 공개 사과 등 현대 사회에서 우리가 흔히 부딪히는 문제를 통해 ‘무엇이 정의로운가’에 대한 해답을 탐구했다. 이 책은 탁월한 정치 철학자들이 남긴 시대를 초월한 철학적인 질문을 알기 쉽게 소개한다. 이를 통해 옳고 그름, 정의와 부당함, 평등과 불평등, 개인의 권리와 공동선을 둘러싼 주장들이 경쟁하는 공적 담론과 토론의 장에서 정의에 관한 자신만의 견해를 정립하고 논리 기반을 굳건하게 다지는 토대를 제공한다. 이 책은 현대 사회의 문제를 진단하고 새로운 대안을 찾아내는 정치 철학자들의 지적 탐색 과정을 보여준다.",1,국내도서-사회 정치
5,9788993178692,30217950,지리의 힘,"18,000원","1,000원",팀 마샬/김미선,사이,"사드, 남중국해, IS, 영유권 분쟁, 유럽의 분열, 모든 것은 지리에서 시작되었다! 우리의 삶은 언제나 우리가 살고 있는 [땅]에 의해 형성돼 왔다. 한니발도, 순자도, 알렉산드로스 대왕도 인정했던 [지리의 법칙]은 21세기에도 변함없이 힘을 발휘하고 있다. [지리의 힘]이 21세기 현대사에 미치는 영향 집중 해부! 영국 《파이낸셜 타임스》의 터키 특파원과 스카이 뉴스 외교 부문 에디터와 BBC 기자로도 일하는 등 25년 이상 30개 이상의 분쟁 지역을 직접 현장에서 취재하면서 국제 문제 전문 저널리스트로 활동해온 저자가 [지리라는 렌즈]를 통해 세계를 조망한 책이 출간되었다. 이 책은 특히 중국, 미국, 서유럽, 러시아, 한국과 일본, 아프리카, 라틴 아메리카, 중동, 인도와 파키스탄, 북극 등 전 세계를 10개의 지역으로 나눠 [지리의 힘]이 급변하는 21세기 현대사에 미치는 영향을 집중적으로 파헤친다.",1,국내도서-사회 정치
6,9788971999080,96827690,나의 한국현대사 1959-2020,"17,100원",950원,유시민,돌베개,"그때 그 사건은 어떻게 역사가 됐을까? 세월호 참사에서 코로나19까지, 전면 업그레이드한 ‘대한민국 현재사’ 30만 독자의 마음을 사로잡으며 역사 분야의 스테디셀러로 자리를 지켜온 유시민의『나의 한국현대사』가 6년 만에 개정증보판으로 돌아왔다. ‘객관적 사실’과 ‘주관적 체험’을 넘나들며 보고 겪고 느낀 점들을 기록하는 방식을 유지하되, 그간 더해진 시간의 자취를 담아 전면 새로 고쳐 썼다. 초판 출간 당시 주기적으로 데이터를 보완하고 축적된 사실을 되짚겠다던 약속을 지킨 첫 번째 책이다. 이번 개정증보판은 2014년 7월 초 이후부터 2020년 12월까지, 주목할 만한 사건을 불러내고 인구·국민소득·소득분배 등 사회변화를 보여주는 각종 통계자료를 활용해 보완했다. 특히 2019년 7월 4일 발표됐던 일본의 수출규제, 2016년 이후 확장된 미투운동·장애운동 등은 그 중요성을 강조하기 위해 각기 절을 할애했다.",1,국내도서-역사
7,9791186742723,103412179,메타버스 FOR 에듀테크,"22,500원","1,250원",변문경/김병석/이정훈/박찬,다빈치books,"게더타운(gathertown), 이프랜드(ifland), 제페토(ZEPETO), 가상현실 코스페이시스(CoSpaces)를 교육현장에서 활용하며 혁신교육과 에듀테크를 실현할 수 있는 가장 실용적인 지침서 가상현실, 증강현실, 거울세계, 라이프로깅, 인공지능 미래인재를 위한 교육?행사 기획과 활용 가이드 요즘 메타버스인 게더타운, 제페토, 이프랜드를 이용하여 온라인 행사도 많이 하고, 학교 수업도 활발합니다. 기업과 기관, 그리고 대학의 성과를 홍보하는 학술대회, 성과전시회, 신제품 발표회까지 메타버스로 구축되고 성공적으로 운영되고 있습니다. 특히 게더타운, 제페토, 이프랜드 같은 메타버스 플랫폼은 참여자들이 아바타를 이용해서 활발한 상호작용을 가능하게 합니다. 메타버스 FOR 에듀테크는 메타버스의 분야인 가상현실, 증강현실, 거울세계, 라이프로깅에서 메타버스 교육 기획, 행사 기획을 돕는 활용 가이드로 기획되었습니다.",1,국내도서-사회 정치
8,9791160406191,102591011,친애하는 나의 민원인,"13,500원",750원,정명원,한겨레출판,"“사람을 의심하고 판단하는 데 인간에 대한 이해와 상상력이 얼마나 들어가 있을까” 피해자·민원인·피고인·증인… 이름만 달리하여 출몰하는 상처투성이인 사람들에게 생의 한 귀퉁이를 내어주는 어느 검사의 이야기 『친애하는 나의 민원인』은 현재 대구지방검찰청 서부지청 부부장으로 재직 중인 16년 차 여성 검사 정명원이 쓴 첫 책이다. 저자는 검사라는 직업이 늘 영화나 드라마에서 보듯 차갑고 공격적이고 조직 논리로 움직이는 듯 보이지만, 실상 신문이나 뉴스에 나오는 검사들은 특수부·공안부 검사 들일 뿐이며 이들은 대한민국 전체 검사 중 10% 정도밖에 되지 않는 사람들이라고 말한다. 이 책에는 나머지 90%인 형사부·공판부 소속의, 야근 많고 재판 도중 울기도 하고 민원인과 좌충우돌하기도 하는 ‘비주류’이자 ‘회사원’ 검사들의 일상적인 이야기가 펼쳐진다. 저자는 이 책에서 세상이 지향해야 할 완전무결함이나, 거악 척결 등 거대한 무언가를 말하려고 하지 않는다.",1,국내도서-사회 정치
9,9788934985068,69724044,팩트풀니스,"17,820원",990원,이창신/한스 로슬링/올라 로슬링/안나 로슬링 뢴룬드,김영사,"빌 게이츠, 버락 오바마가 강력 추천한 세계적 베스트셀러! 전 세계적으로 확증편향이 기승을 부리는 현대에, 강력한 사실을 바탕으로 사건을 확대 해석하거나 관점을 왜곡하지 않고 세상을 정확하게 바라보는 법을 담은 책. 세상을 바라보는 방식을 바꾸고 미래의 위기와 기회에 대처하는 힘을 기르기 위해 반드시 읽어야 할 필독서이다.",1,국내도서-인문
10,9788925579313,104427752,요즘 애들,"16,200원",900원,앤 헬렌 피터슨/박다솜,알에이치코리아(RHK),"“평생 트랙 위를 쉼 없이 달려왔지만 우리는 늘 게으르고, 부족하고, 이기적인 애들이었다.” * 아마존 ‘최고의 논픽션’, [하퍼스 바자] ‘올해의 책’ 선정! * [뉴욕 타임스], [퍼블리셔스 위클리], [에스콰이어] 추천! * 『90년생이 온다』 작가 임홍택, 『아무튼 예능』 작가 복길, 『젊은 ADHD의 슬픔』 작가 정지음, 『사랑의 은어』 작가 서한나 추천! 부모처럼 살기 싫지만 부모만큼 되기도 어려운 세대, 밀레니얼Millennial. 그들은 ‘이번 생은 망했다’면서도 탈진 직전까지 일에 몰두하고, 필패하도록 설계된 체제에서 ‘졌지만 잘 싸웠다’며 자조한다. 밀레니얼 세대에게 ‘번아웃Burnout’은 신드롬이 아니다. 무기력과 불안정은 그들 삶 전반에 깔린 배경음악이자, 그들이 평생을 지내며 살아온 온도다.",1,국내도서-사회 정치
