순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791165343729,102789938,달러구트 꿈 백화점 2 (레인보우 에디션),"12,420원",690원,이미예,팩토리나인,"100만 독자를 사로잡은 『달러구트 꿈 백화점』, 그 두 번째 이야기 어느덧 페니가 달러구트 꿈 백화점에서 일한 지도 1년이 넘었다. 재고가 부족한 꿈을 관리하고, 꿈값 창고에서 감정으로 가득 찬 병을 옮기고, 프런트의 수많은 눈꺼풀 저울을 관리하는 일에 능숙해진 페니는 자신감이 넘친다. 게다가 꿈 산업 종사자로 인정을 받아야만 드나들 수 있는 ‘컴퍼니 구역’에도 가게 된 페니는 기쁜 마음을 감출 수 없다. 하지만 그곳에서 페니를 기다리고 있는 건, 꿈에 대한 불만을 털어놓는 사람들로 가득한 ‘민원관리국’이었다. 설상가상 달러구트는 아주 심각한 민원 하나를 통째로 페니에게 맡기는데… “왜 저에게서 꿈까지 뺏어가려고 하시나요?”라는 알쏭달쏭한 민원을 남기고 발길을 끊어버린 792번 단골손님.",1,국내도서-소설/시/희곡
2,9791165341909,91065309,달러구트 꿈 백화점 (레인보우 에디션),"12,420원",690원,이미예,팩토리나인,"잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 ‘달러구트의 꿈 백화점’이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다. 범상치 않은 혈통의 주인장 ‘달러구트’, 그리고 그의 최측근에서 일하게 된 신참 직원 ‘페니’, 꿈을 만드는 제작자 ‘아가넵 코코’, 그리고 베일에 둘러싸인 비고 마이어스…등이 등장한다. 『달러구트 꿈 백화점』은 ‘무의식에서만 존재하는 꿈을 정말 사고 팔 수 있을까?’라는 기발한 질문에 답을 찾아가며, 꿈을 만드는 사람, 파는 사람, 사는 사람의 비밀스런 에피소드를 담고 있는 판타지 소설이다. 텀블벅 펀딩 1812% 달성, 전자책 출간 즉시 베스트셀러 1위를 3주간 기록하며 수많은 독자들의 요청으로 종이책으로 출간하게 되었다.",1,국내도서-소설/시/희곡
3,9791191056556,99534783,미드나잇 라이브러리 : 평행우주 에디션,"14,220원",790원,매트 헤이그/노진선,인플루엔셜,"밤 12시, 죽기 바로 전에만 열리는 마법의 도서관에서 인생의 두 번째 기회를 드립니다 국내 주요 서점 종합 베스트셀러 1위, 2021년 올해의 책 선정 [뉴욕타임스] 베스트셀러 1위, 영국 아마존 종합 베스트셀러 1위 매트 헤이그의 소설 『미드나잇 라이브러리』는 2021년 4월 출간 이후 10개월 만에 30만 독자의 마음을 사로잡으며 눈물과 웃음, 가슴 뭉클한 감동을 선사하고 있다. 죽기로 결심한 주인공 ‘노라 시드’가 삶과 죽음 사이에 존재하는 미스터리한 도서관 ‘미드나잇 라이브러리’에서 눈을 뜨며 인생의 두 번째 기회를 얻는 이 소설은, 노라의 가장 완벽한 삶을 찾는 모험을 따라가며 ‘살아 있음’과 ‘살아가는 것’에 대한 깊은 통찰을 보여준다.",1,국내도서-소설/시/희곡
4,9791161571188,99308021,불편한 편의점,"12,600원",700원,김호연,나무옆의자,불편한데 자꾸 가고 싶은 편의점이 있다! 힘들게 살아낸 오늘을 위로하는 편의점의 밤 정체불명의 알바로부터 시작된 웃음과 감동의 나비효과 『망원동 브라더스』 김호연의 ‘동네 이야기’ 시즌 2 2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 인간의 내밀한 욕망을 기발한 상상력으로 풀어낸 스릴러 장르를 오가며 독자적인 작품 세계를 쌓아올린 작가 김호연. 그의 다섯 번째 장편소설 『불편한 편의점』이 출간되었다. 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 『망원동 브라더스』에서 망원동이라는 공간의 체험적 지리지를 잘 활용해 유쾌한 재미와 공감을 이끌어냈듯 이번에는 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 또 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다.,1,국내도서-소설/시/희곡
5,9791191043297,102360203,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","12,600원",700원,이치조 미사키/권영주,모모,"매일 기억을 잃는 너와 두 번 다시 돌아갈 수 없는 사랑을 했다 제26회 전격소설대상 ‘미디어워크스문고상’ 수상작 밤에 자고 일어나면 기억이 리셋되는 ‘선행성 기억상실증’을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기. 선행성 기억상실증이라는 익숙한 소재를 매우 수준 높은 청춘 소설로 탄생시켰다는 극찬을 받으며 제26회 전격소설대상 ‘미디어워크스문고상’을 수상한 이 작품은 간질간질한 청춘의 로맨스를 전혀 예측할 수 없는 국면으로 끌고 가, 깐깐하고 엄격한 심사위원 모두를 눈물 흘리게 만들었다는 흥미로운 뒷이야기를 남긴 소설이기도 하다. “날 모르겠지만, 사귀어줄래…?” 어쩔 수 없이 건넨 도루의 거짓 고백을 “날 정말로 좋아하지 말 것. 지킬 수 있어?”라는 조건을 걸고 허락한 히노.",1,국내도서-소설/시/희곡
6,9791158887605,97247852,듄 신장판 전집 세트,"108,000원","6,000원",프랭크 허버트/김승욱,황금가지,"역사상 가장 많이 팔린 SF이자 독자들이 뽑은 역대 최고의 SF인 프랭크 허버트의 대작 『듄』이 신장판 전집으로 황금가지에서 출간되었다. 2001년 첫 번역본이 출간된 이후 20년 만에 재출간된 신장판은, 기존의 18권 반양장본을 원서와 동일한 6권으로 묶은 양장본으로서, 김승욱 역자가 6개월여의 원본 대조 작업을 통해 번역을 새롭게 손본데다, 전집 가격은 20년 전보다 오히려 10% 이상 낮게 책정되었다. 『듄』은 지금까지 2000만 부 이상의 판매고를 올리며 전 세계에서 가장 많이 판매된 SF로 알려져 있으며, 「컨택트」, 「블레이드 러너 2049」의 감독인 드니 빌뇌브에 의해 대작 할리우드 영화로 올 10월 공개될 예정으로, 예고편 공개만으로 원작 소설이 베스트셀러에 오르는 등 전 세계적으로 높은 주목을 받고 있는 기대작이다.",1,국내도서-소설/시/희곡
7,9791158887544,97247811,듄 신장판 1,"22,500원","1,250원",프랭크 허버트/김승욱,황금가지,"역사상 가장 많이 팔린 SF이자 독자들이 뽑은 역대 최고의 SF인 프랭크 허버트의 대작 『듄』이 신장판 전집으로 황금가지에서 출간되었다. 2001년 첫 번역본이 출간된 이후 20년 만에 재출간된 신장판은, 기존의 18권 반양장본을 원서와 동일한 6권으로 묶은 양장본으로서, 김승욱 역자가 6개월여의 원본 대조 작업을 통해 번역을 새롭게 손본데다, 전집 가격은 20년 전보다 오히려 10% 이상 낮게 책정되었다. 『듄』은 지금까지 2000만 부 이상의 판매고를 올리며 전 세계에서 가장 많이 판매된 SF로 알려져 있으며, 「컨택트」, 「블레이드 러너 2049」의 감독인 드니 빌뇌브에 의해 대작 할리우드 영화로 올 10월 공개될 예정으로, 예고편 공개만으로 원작 소설이 베스트셀러에 오르는 등 전 세계적으로 높은 주목을 받고 있는 기대작이다.",1,국내도서-소설/시/희곡
8,9788983928825,103981746,크리스마스 피그,"18,000원","1,000원",J.K. 롤링/공보경/짐 필드,문학수첩,"장난감을 사랑하는 어린이는 물론, 장난감을 사랑했던 아련한 추억이 있는 성인에게 최고의 크리스마스 선물이 되어줄 책! 누군가를 순수하게 사랑해 본 경험이 있는 우리 모두를 위한 가슴 따뜻한 모험이 펼쳐진다 2019년부터 시작한 코로나 바이러스는 전 세계에 크나큰 영향을 끼쳤다. 평범한 일상은 꿈같은 일이 되었고, 경제적 타격으로 수많은 사람들이 슬픔에 빠졌다. J.K. 롤링은 이렇듯 시련을 겪고 있는 사람들의 마음에 조금이나마 위로를 줄 수 있는 방법을 고심했다. 코로나 바이러스가 전 세계에 본격적으로 유행하기 시작한 2020년, J.K. 롤링은 어린이들과 보호자들을 위해 『이카보그』를 인터넷에 무료로 연재한 뒤 어린이들의 그림을 담아 단행본으로 출간했다. 그리고 2021년 올해, 코로나 바이러스를 겪고 있는 어린이와 어른 모두를 위한 두 번째 프로젝트라 할 만한, 『크리스마스 피그』를 출간한다.",1,국내도서-소설/시/희곡
9,9791160406504,104467523,방금 떠나온 세계,"13,500원",750원,김초엽,한겨레출판,"사랑의 입자들을 타고 낯선 세계를 떠도는 경이롭고 아름다운 우주 저편의 이야기들 『우리가 빛의 속도로 갈 수 없다면』 김초엽 두 번째 소설집 『방금 떠나온 세계』는 「관내분실」과 「우리가 빛의 속도로 갈 수 없다면」으로 제2회 한국과학문학상 중단편 대상과 가작을 동시 수상하며 한국 문학의 미래로 떠오른 김초엽 작가의 소설이다. 20만 부가 판매되었던 첫 소설집 『우리가 빛의 속도로 갈 수 없다면』 이후 2년여 만에 나오는 두 번째 소설집이기도 하다. 제11회 젊은작가상 수상작인 「인지 공간」과 2021 올해의 문제소설로 선정된 「오래된 협약」을 포함해 ‘나’와 ‘세계’를 사랑하고 이해하려는 마음으로 쓴 경이롭고 아름다운 7편의 소설을 담았다. 이번 소설집에서 작가는 섬세한 문장과 꿋꿋한 서사, 그리고 타자에 대한 깊은 사유에 더해 세심한 관찰자로서 낯선 우주 저편의 이야기를 김초엽만의 세계 안에 온전히 담아낸다.",1,국내도서-소설/시/희곡
10,9791167370280,101908580,[예스리커버] 완전한 행복,"14,220원",790원,정유정,은행나무,"다시, 정유정! 자기애의 늪에 빠진 삶은 얼마나 위태로운가, 압도적 서사 위 정교하고 서늘한 공포 우리가 기다린 바로 그, 정유정! 『내 인생의 스프링 캠프』 『내 심장을 쏴라』 『7년의 밤』 『28』 『종의 기원』 『진이, 지니』. 발표하는 작품마다 독자들의 열광적인 지지를 받으며 한국문학의 대체불가한 작가로 자리매김한 정유정이 신작 『완전한 행복』으로 돌아왔다. 500여 쪽을 꽉 채운 압도적인 서사와 적재적소를 타격하는 속도감 있는 문장, 치밀하고 정교하게 쌓아올린 플롯과 독자의 눈에 작열하는 생생한 묘사로 정유정만의 스타일을 가감 없이 보여주는 한편, 더 완숙해진 서스펜스와 인간의 심연에 대한 밀도 높은 질문으로 가득 찬 수작이다. 『완전한 행복』은 버스도 다니지 않는 버려진 시골집에서 늪에 사는 오리들을 먹이기 위해 오리 먹이를 만드는 한 여자의 뒷모습에서 시작된다. 그녀와 딸, 그리고 그 집을 찾은 한 남자의 얼굴을 비춘다.",1,국내도서-소설/시/희곡
