순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791191013320,103753684,하루쯤 나 혼자 어디라도 가야겠다,"14,220원",790원,장은정,북라이프,"혼자서 하루쯤 어디라도 떠나고 싶어지는 날이 있다. 이런 때 떠나는 잠깐의 여행은 마음의 큰 위안이 되고 돌아온 일상을 잘 살아내게 하는 힘이 된다. 이 책은 떠나고 싶은 마음이 불쑥 찾아올 때 코로나19 상황에서도 안전하게 갈 수 있는 작은 여행을 선물한다. 지치고 아무 의욕도 없는 공허한 마음에 기분 전환이 되는 여행이자, 육아 전쟁에서 잠시 해방되어 진정한 자유와 휴식을 누릴 수 있는 여행이다. 출근길에 문득 방향을 틀고 싶을 때 부담 없이 하루쯤 휴가를 내고 떠나 보자. 『하루쯤 나 혼자 어디라도 가야겠다』는 여기저기 많은 곳을 돌아다니기보다는 하루라는 잠깐의 시간 동안 느긋하게 머무르는 느린 여행을 추구한다. 자발적 고립을 즐길 수 있는 이색 숙소, 숲과 바다, 들판같이 탁 트인 자연, 사람이 많지 않은 작은 소도시, 산책하기 좋은 길, 입장객 수에 제한을 두는 장소 등 타인과의 접촉은 최소한으로, 나에게 집중하는 시간은 최대한으로 가질 수 있는 곳을 소개한다.",1,국내도서-건강 취미
2,9791165217358,104799596,카레부부의 주말여행 버킷리스트,"14,850원",820원,조유리/김재우,길벗,"여행 애송이들 잘 들어, 여행 정보뿐만 아니라, 웃음과 감동까지 원하면 이 책을 선택해 봐! 알콩달콩, 유쾌한 결혼 일상으로 인스타그램 팔로워 토탈 230만 명의 웃음을 책임지고 있는 ‘개그맨 김재우& 여행 작가 조유리’ 부부의 국내 언택트 여행지 대공개 당신의 우울과 불안을 타파해 줄 재미, 감동, 정보의 삼박자를 모두 갖춘 여행서가 나타났다. 상상도 못할 재치 있는 유머로 인스타그램 팔로워 210만 명을 둔 개그맨 김재우, 부부의 사랑스러운 일상으로 팔로워 20만 명을 보유하고 있는 여행 작가 조유리. ‘카레부부’라는 애칭으로 불리고 있는 이 둘의 사랑이 더욱 돈독해진 이유는 ‘여행’이라는 공통적인 취미 덕분이다. 사람이 붐비는 관광지보다 프라이빗하게 즐길 수 있는 곳들을 찾아 다니면서 여행 버킷리스트를 하나씩 완성해갔던 ‘카레부부’의 인생 여행지를 전격 소개한다.",2,국내도서-건강 취미
3,9788954655972,71923011,여행의 이유,"12,150원",670원,김영하,문학동네,"작가 김영하가 처음 여행을 했던 순간부터 최근의 여행까지, 오랜 시간 여행을 하면서 느끼고 생각했던 것들을 아홉 가지의 이야기로 풀어낸 산문. 앉은 자리에서 모든 정보에 접속 가능한 현대에 이르러서도 오버투어리즘이라는 말이 생겨날 정도로 여행 인구는 전 세계적으로 계속 증가하고 있다. 그 이유는 무엇일까. 우리는 왜 멈추지 않고 끊임없이 여행을 하는가. 일상의 장소를 벗어나 생생하고 색다른 경험을 하길 바라는 마음, 여러 가지 일들로 번잡해진 머리를 비우고 먼 곳에서 홀로 휴식을 취하고픈 마음은 우리를 ‘여행하는 인간(호모 비아토르)’으로 만든다. 여행에 대한 작가 김영하만의 섬세한 시선과 지적인 위트가 담긴 『여행의 이유』는 페이지를 펼치는 순간, 호모 비아토르인 당신의 마음을 사로잡을 것이다.",1,국내도서-에세이
4,9791191583793,102117049,지구인만큼 지구를 사랑할 순 없어,"15,120원",840원,정세랑,위즈덤하우스,"친구의 도시를 걸으며 정세랑이 만난 이야기보다 더 이야기 같았던 순간들 덧없이 사라진다 해도 완벽하게 근사한 순간들에 대하여 모두가 손꼽아 기다려온 책, 이 시대 가장 사랑받는 작가 정세랑의 첫 번째 에세이 『지구인만큼 지구를 사랑할 순 없어』가 우리 앞에 도착했다. 정세랑 작가는 여행을 싫어하기로 유명하다. 그런데 어쩌다 보니 친구가 너무 보고 싶어서 뉴욕까지 날아가고, 이벤트에 당첨되어 런던에도 가고, 남자친구의 유학을 따라 독일에도 가게 되었다. 그렇게 쓰기 시작한 여행기가 어쩌다가 9년 동안 계속되었고, 누구나 여행을 그리워하게 된 이때에 마침내 한 권의 책으로 완성되었다. 덕분에 시간이 크레이프 케이크처럼 쌓여 마치 시간여행을 하는 듯 묘한 여행기가 탄생했다. 이 책에는 정세랑의 소설들이, 정세랑이라는 작가가 어떻게 탄생하고 만들어졌는지 ‘정세랑 월드’의 모든 비밀이 고스란히 담겨 있다.",1,국내도서-에세이
5,9791190147743,104405617,"오늘도, 캠핑","12,150원",670원,밍동,애플북스,"캠핑, 누구나 할 수 있지 모에요? 23만 구독자 캠핑 유튜버 밍동의 비하인드 스토리! 코로나19 여파로 국내 여행을 찾는 사람들이 많아지면서 호텔이나 리조트 대신 캠핑을 즐기려는 수요가 크게 늘고 있다. 캠핑족들을 겨냥한 기능과 디자인을 갖춘 SUV차량 및 아웃도어 브랜드뿐만 아니라 외식업체나 커피 브랜드까지 앞다투어 캠핑 굿즈를 내놓을 만큼 그 인기는 어느 때보다 높아지고 있다. 캠핑은 사전에 준비할 것들이 무수히 많다. 편안한 집을 뒤로하고 야외에서 활동해야 하는 부지런한 몸과 불편한 잠자리를 받아들일 수 있는 넉넉한 마음, 그리고 스타일에 꼭 맞는 장비들까지. 『오늘도, 캠핑』은 10년 차 스튜어디스였던 저자가 처음 캠핑을 하던 순간부터 백패킹, 비박, 차박, 오지 캠핑, 우중 캠핑 등 인기 있는 캠핑 유튜버가 되기까지를 기록한 에세이이다.",1,국내도서-에세이
6,9791190073073,91905736,에이든 국내여행 가이드북,"16,830원",930원,타블라라사/이정기,타블라라사,여행 베스트셀러 에이든 여행지도에서 2020년 8월 국내여행 가이드북을 정식 출간하였다. 우리나라 여행지들을 요약된 맛갈스러운 멘트로 빠르게 살펴볼 수 있다. 또한 에이든 여행지도에서 제작된 국내지도들이 조각조각 확대되어서 가이드북 안에 들어가 있다. 마지막 챕터에는 우리나라 역사이야기와 역사여행지를 수록했다. 역사를 이해하면서 여행을 다닌다면 그 재미는 더해질 것이다. 매주 국내여행 준비할때 어디갈지 고민 많이 되는가? 인터넷 검색해도 광고뿐인 반복적인 글들만 나오는가? 이 국내여행 가이드북은 이러한 불편한 점들을 한방에 해결해 줄 것이다.,2,국내도서-건강 취미
7,9788901248882,98983458,"우연히, 웨스 앤더슨","26,100원","1,450원",월리 코발 /김희진,웅진지식하우스,"웨스 앤더슨 월드로 안내하는 초감각 렌즈이자 단 하나의 초대장 오감 충족 대리 만족 방구석 세계 여행 아카이빙 대작전! “전 세계에서 가장 뜨거운 인스타그램 트렌드”로 주목받는 @AccidentallyWesAnderson 계정의 내용을 엮은 책이 출간되었다. 월리 코발 저자가 우연히도 웨스 앤더슨의 영화와 비슷해 보이는 장소의 사진을 보고 영감을 얻어 만든 채널로, 코로나 이슈로 여행이 힘들어진 사람들에게 대리 만족과 흥미로운 참여를 유도해 현재 140만 팔로어를 넘어 일주일에 만 명 이상씩 실시간으로 늘고 있다. 웨스 앤더슨 감독의 작품에는 한눈에 알아볼 수 있는 색감과 미학이 있다. 그의 감수성은 다양한 장르의 예술과 디자인, 인테리어 등에 영향을 끼쳤다. 특히 이 책은 웨스 앤더슨 터치를 전 세계에서 발견하도록 이끄는 유일한 프로젝트이자 여행 초대장이다.",1,국내도서-예술
8,9791190073097,102588206,에이든 제주여행 가이드북,"15,750원",870원,이정기/타블라라사,타블라라사,에이든 제주여행 가이드북은 여행자들이 에이든 여행지도를 만들면서 수집했던 전국의 수천개 콘텐츠를 가지고 고르고 골라서 통합본으로 제작했다. 지도와 같이 전체를 한눈에 볼 수 있지는 못하나 그 내용이 제주여행 가이드북안에 모두 담고 있어 소장하거나 집에서 갈만한 곳을 찾기에 좋다. 에이든 여행지도의 다른 지도도 같이 구매하면 실제 여행을 떠날때 더욱 도움이 되리라 생각한다.,1,국내도서-건강 취미
9,9791190846165,101907453,리얼 국내여행,"16,200원",900원,배나영,한빛라이프,"숲길 산책부터 드라이브, 서핑 체험까지 나만의 속도로 즐기는 우리나라 여행 산과 계곡, 바다와 섬, 강과 평야를 품은 우리나라는 도시마다 고유한 매력을 품고 있다. 더욱이 사계절이 있으니, 봄 여름 가을 겨울 그 매력이 달라지기도 한다. 『리얼 국내여행』은 ‘그 도시’를 가장 멋지게 여행하는 방법을 제안한다. 베테랑 여행작가가 고심해서 고른 우리나라 37개 도시, 460여 개의 방대한 여행지를 57개의 테마로 유기적으로 묶었다. 요즘 가장 인기 있는 소도시 고성에 간다면 동해안을 따라 자리한 다양한 해변에서 대표 카페의 커피를 마셔볼 것을 권하고, 전통적인 인기 여행지 경주에 간다면 신라의 비밀을 간직한 명소들과 경주 핫플 황리단길의 상반된 매력을 경험하길 제안한다. 안전하고 건강하게 여행하는 방법도 놓치지 않았다. 안전 여행 가이드와 다른 여행서에서 찾아볼 수 없는 거리두기 스폿은 이 책만의 장점이다.",2,국내도서-건강 취미
10,9791189385163,95326477,쉬운 천국,"14,400원",800원,유지혜,어떤책,"『조용한 흥분』, 『나와의 연락』 유지혜 작가 신작 두 번의 뉴욕, 다섯 번의 런던, 네 번의 파리, 세 번의 베를린, 그리고 비엔나 이제 조금 알 것 같다는, 혹은 아직도 잘 모르겠다는 너와 나, 우리 청춘들에게 바치는 몇만 번 다시 사랑하게 될 순간들의 기록 2015년 『조용한 흥분』 출간으로, 독자들을 ‘인스타그래머의 책’이라는 낯선 정체성으로 이끌었던 유지혜 작가. “무슨 일을 하세요?”라는 물음에 그저 “학생”이라고 대답했던 시절을 뒤로하고, 그는 ‘글 쓰는 사람’이라는 단단한 자아를 보석처럼 발굴해 나가는 시간을 보냈다. 그사이 두 번째 책이 출간됐고, ‘유지혜 페이퍼’라는 정기 메일링 서비스를 시즌 9까지 마무리 지었다. 그리고 서른 살을 앞둔 2020년 늦가을, 마침내 진심으로 최선을 다하고 100퍼센트의 당당함으로 소개할 수 있는 세 번째 책 『쉬운 천국』을 세상에 내놓는다.",1,국내도서-에세이
