순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791191438406,104409067,거꾸로 읽는 세계사,"15,750원",870원,유시민,돌베개,"한 시대를 풍미했던 베스트셀러의 귀환 100만 독자를 사로잡은 ‘이야기의 힘’ 1988년 초판 출간 이후 스테디셀러로 굳건히 자리를 지켰던 유시민의 『거꾸로 읽는 세계사』가 절판 이후 새 얼굴로 출간됐다. ‘전면개정’이라는 수식이 무색할 정도로 30년 넘게 축적된 정보를 꼼꼼하게 보완하고, 사건에 대한 해석을 바꿨으며, 같은 문장 하나 두지 않고 고쳐 쓴 ‘새로운’ 책이다. 그럼에도 제목을 그대로 쓴 이유는 초판에서 보였던 ‘거꾸로 읽는 자세’를 전부 거둬내지는 않았기 때문이다. 세계를 보는 편향된 시각에 균형을 맞추려 했고, 여전히 소홀하게 취급받는 몇몇 사건도 비중 있게 다뤘다. 『거꾸로 읽는 세계사』는 유시민에게 여러 모로 ‘첫 번째’로서 갖는 의미가 많다. 처음으로 ‘작가’라는 이름을 달아준 책이자, 저서 중 가장 먼저 단시간에 베스트셀러에 오른 책인 동시에 가장 오랫동안 독자 곁에 머문 책이다.",1,국내도서-역사
2,9791135469442,104647756,존 메이너드 케인스,"27,000원","1,500원",재커리 D. 카터/김성아/홍춘욱,로크미디어,"“엄청나게 유익한 책.” _폴 크루그먼, 노벨 경제학상 수상자 2021년 힐먼상 수상작, 전미 도서 비평가 협회상 최종 후보, 컨딜 역사상 후보 뉴욕타임스, 이코노미스트, 블룸버그, 마더존스, 퍼블리셔스 위클리 선정 올해의 책 근현대사에 가장 큰 영향력을 끼친 경제학자이자 위대한 계몽주의 지식인에 관하여 존 메이너드 케인스의 인생과 그의 사상을 낱낱이 풀어내는 지적 전기! 제1차 세계 대전이 시작될 무렵, 어느 한 젊은 학자가 사이드카가 달린 오토바이를 타고 런던으로 떠났다. 당시 잉글랜드에는 역사상 가장 지독한 금융 위기가 터진 지 5일 째가 되는 날이었고, 유럽을 휩쓸어버린 전쟁이 본격적으로 시작되는 시기였다. 영국은 전쟁과 경제 위기로 촉발된 공포와 혼란으로 가득했다. 젊은 학자는 이러한 위기와 혼란을 잠재울 수 있는 획기적인 방법을 제안하였다. 영국은 젊은 학자의 제안을 받아들였고, 긴박한 위기 상황에서 벗어날 수 있었다.",1,국내도서-경제 경영
3,9791191360233,104496960,일생일문,"16,200원",900원,최태성,생각정원,"랜선 제자만 600만 명! 대한민국 대표 강사 최태성이 전하는 현재를 위한 역사의 가슴 뜨거운 응원! EBS 교육방송의 대표 강사인 큰★별쌤 최태성의 대중을 위한 역사 수업. 이 책 『일생일문』은 ‘한 번뿐인 일생을 바칠 하나의 질문’을 찾아 자신의 신념을 투여했던 역사적 인물과 사건들의 궤적을 따라가는 인문교양서다. 불평등과 차별과 이겨내고자 ‘더 나은 세상은 가능한가?’라는 질문을 품었던 동학 운동의 농민들, 다음 세대에게 지금과는 다른 세상을 물려주려면 ‘어떻게 행동해야 하는가’를 몸소 보여준 3·1운동의 이름 모를 남녀노소들, ‘민족을 지탱하는 힘과 뿌리는 무엇인가?’를 캐물으며 우리 말과 글을 지키고자 했던 조선어학회의 회원들까지. 이 책은 굵직한 업적을 남긴 위인보다 작은 용기들이 만든 역사에 집중하며 ‘우리 모두는 각자의 역사를 쓰는 중’이라는 사실을 다시 일깨운다.",1,국내도서-역사
4,9788970127248,1940233,"총, 균, 쇠","25,200원","1,400원",재레드 다이아몬드/김진준,문학사상,"왜 어떤 민족들은 다른 민족들의 정복과 지배의 대상으로 전락하고 말았는가. 왜 원주민들은 유라시아인들에 의해 도태되고 말았는가. 왜 각 대륙들마다 문명의 발달 속도에 차이가 생겨났는가. '인간 사회의 다양한 문명은 어디서 비롯되는가?'라는 의문을 명쾌하게 분석하여 1998년 퓰리처 상을 수상한 책. 2005년 12월 새롭게 개정신판이 출간되었다. 진화생물학자인 재레드 다이아몬드는 총기와 병균과 금속이 역사에 미친 엄청난 영향에 대해 분석한다. 일단 수렵 채집 단계를 넘어서 농경을 하게 된 사회들은 문자와 기술, 정부,...",1,국내도서-사회 정치
5,9791130621968,74360497,역사의 쓸모,"13,500원",750원,최태성,다산초당,"500만 명의 가슴을 울린 명강의의 주인공 최태성이 역사에서 찾은 자유롭고 떳떳한 삶을 위한 22가지 통찰. 지난 20여 년간 대한민국 대표 역사 강사 최태성을 찾은 사람은 비단 시험을 준비하는 학생만이 아니었다. 교양을 쌓으려는 일반인은 물론이고, 비즈니스 인사이트를 구하는 CEO부터 삶을 방향을 고민하는 청년과 중년까지 일과 삶의 문제로 갈등하는 모든 이가 그를 찾았다. 단편적인 사실 관계를 설명하는 데 그치지 않고 역사의 본질을 파고드는 그의 강의가 듣는 이로 하여금 역사에 빗대어 자신의 삶을 돌아보게 하고, 어떤 삶을 살아야 하는지에 대한 답을 깨닫게 만들기 때문이다. 실제로 선택의 기로에 설 때마다 역사에서 답을 찾았다는 저자는 삶이라는 문제에 대한 가장 완벽한 해설서는 역사라고 말한다.",2,국내도서-역사
6,9788993178692,30217950,지리의 힘,"18,000원","1,000원",팀 마샬/김미선,사이,"사드, 남중국해, IS, 영유권 분쟁, 유럽의 분열, 모든 것은 지리에서 시작되었다! 우리의 삶은 언제나 우리가 살고 있는 [땅]에 의해 형성돼 왔다. 한니발도, 순자도, 알렉산드로스 대왕도 인정했던 [지리의 법칙]은 21세기에도 변함없이 힘을 발휘하고 있다. [지리의 힘]이 21세기 현대사에 미치는 영향 집중 해부! 영국 《파이낸셜 타임스》의 터키 특파원과 스카이 뉴스 외교 부문 에디터와 BBC 기자로도 일하는 등 25년 이상 30개 이상의 분쟁 지역을 직접 현장에서 취재하면서 국제 문제 전문 저널리스트로 활동해온 저자가 [지리라는 렌즈]를 통해 세계를 조망한 책이 출간되었다. 이 책은 특히 중국, 미국, 서유럽, 러시아, 한국과 일본, 아프리카, 라틴 아메리카, 중동, 인도와 파키스탄, 북극 등 전 세계를 10개의 지역으로 나눠 [지리의 힘]이 급변하는 21세기 현대사에 미치는 영향을 집중적으로 파헤친다.",1,국내도서-사회 정치
7,9788936478889,104665873,나의 문화유산답사기 365일,"15,300원",850원,유홍준,창비,"답답한 일상에 어디론가 떠나고 싶어지는 요즘 『답사기』와 함께 국내여행 계획을 세워보세요 『나의 문화유산답사기 365일』은 우리 시대 최고의 기행서 『나의 문화유산답사기』를 간추려 여행객들이 활용하기 좋게 편집한 다이어리 겸 여행서다. 유홍준 교수가 직접 『답사기』에서 엄선한 24곳의 명승지 소개와 사진을 월별로 수록했다. 단순히 유명한 문화유산 위주로 나열하지 않고, 저자 유홍준 교수의 기억에 남은 각 계절의 답사 이야기를 중심으로 담았다. 남도의 봄, 제주의 여름, 백두대간의 가을, 서울의 겨울 풍경을 『답사기』의 깊은 통찰과 섬세한 감성으로 만나볼 수 있다. 추천 답사지 외에 기록의 공간도 마련되어 있으니 여행의 계획과 실행 과정에서 1년 12달 365일 언제나 활용할 수 있을 것이다. 특정 연도에 제한되지 않도록 만년 다이어리 형식으로 제작했다.",1,국내도서-역사
8,9788971999080,96827690,나의 한국현대사 1959-2020,"17,100원",950원,유시민,돌베개,"그때 그 사건은 어떻게 역사가 됐을까? 세월호 참사에서 코로나19까지, 전면 업그레이드한 ‘대한민국 현재사’ 30만 독자의 마음을 사로잡으며 역사 분야의 스테디셀러로 자리를 지켜온 유시민의『나의 한국현대사』가 6년 만에 개정증보판으로 돌아왔다. ‘객관적 사실’과 ‘주관적 체험’을 넘나들며 보고 겪고 느낀 점들을 기록하는 방식을 유지하되, 그간 더해진 시간의 자취를 담아 전면 새로 고쳐 썼다. 초판 출간 당시 주기적으로 데이터를 보완하고 축적된 사실을 되짚겠다던 약속을 지킨 첫 번째 책이다. 이번 개정증보판은 2014년 7월 초 이후부터 2020년 12월까지, 주목할 만한 사건을 불러내고 인구·국민소득·소득분배 등 사회변화를 보여주는 각종 통계자료를 활용해 보완했다. 특히 2019년 7월 4일 발표됐던 일본의 수출규제, 2016년 이후 확장된 미투운동·장애운동 등은 그 중요성을 강조하기 위해 각기 절을 할애했다.",1,국내도서-역사
9,9791166830518,99475721,썬킴의 거침없는 세계사,"14,850원",820원,썬킴,지식의숲,"세계 역사가 한 편의 역사 영화처럼 보인다! 한 편의 영화처럼 읽는 세계사 속 전쟁 이야기 그동안 너무 지루한 세계사를 만났거나, 너무 뻔한 세계사 수업만 겪었다면 이제는 썬킴의 세계사를 만날 차례다. 한 번 읽는 것만으로도 세계사의 주요 흐름을 파악하고, 배울 수 있는 세계사 수업을 담았다. ‘역사 스토리텔러’이자 ‘역사 개그맨’으로 불리는 썬킴의 첫 역사 책이기도 하다. 1차 세계대전, 2차 세계대전, 태평양 전쟁, 중국 근대사가 정리되어 있고, 다양한 사진 자료와 함께 썬킴만의 해설이 가미된 역사 관련 영화 해설을 추가했다. 전쟁사를 마치 영화 줄거리처럼 설명해주는 저자의 친근하고 과감한 이야기를 단번에 읽어 내려가 보자. 이 책 한 권으로 우리가 그동안 파편적으로 기억하고 있던 전쟁사를 더 이상 외우지 않고도 기억하게 될 것이다.",1,국내도서-역사
10,9788994025841,104722241,조선 레지스탕스의 두 얼굴,"16,200원",900원,진명행,양문,"우리나라의 독립을 호소하기 위해 고종이 헤이그에 밀사를 파견한 것이 사실일까? 헤이그 밀사 3인을 열사나 지사로 부르고 있는 기존의 시각은 옳은 것인가? 그런데 이에 대해 위조된 어새로 고종의 어명을 조작하고, 외국의 황제에게 가짜 친서를 바친 뒤, 특사를 사칭했다는 새로운 반론이 제시되고 있다. 이런 새로운 시각들을 담은 새로운 책이 발간되었다. 바로 진명행 저 『조선 레지스탕스의 두 얼굴』이다. 이 책에서 저자는, 우리가 알고 있는 일제 시대 3대 항일무장투쟁이 사실은 전과가 미미한 소규모 전투에 불과했고, 그나마 대전자령 전투는 실체가 없는 허구의 승전임을 일본의 공문서 등 1차 사료를 통해 분석했다.",1,국내도서-역사
11,9788934944188,105119262,사피엔스 : 그래픽 히스토리 Vol.2,"16,020원",890원,김명주/다비드 반데르묄렝/다니엘 카사나브/유발 하라리,김영사,"만화로 보는 『사피엔스』의 탄생! 전 세계 2100만 부, 국내 110만 부 베스트셀러를 ‘그래픽 히스토리’로 만나다 원작을 뛰어넘는 탁월한 스토리텔링과 명료한 그림 재미있고 이해하기 쉬운 『사피엔스』의 빅 퀘스천 2탄 『사피엔스: 그래픽 히스토리』 2탄 ‘문명의 기둥’ 편이 출간되었다. 이번에는 원작에서도 가장 논쟁적인 부분인 ‘2부 농업혁명’을 다룬다. 과연 농업혁명의 이면과 문명 건설의 토대에는 어떤 비밀이 숨어 있을까? 인간이 밀을 작물화한 것이 아니라 밀이 인간을 길들인 것이라는 농업혁명에 대한 도발적 역사 해석이 〈파우스트〉의 플롯을 통해 흥미롭게 전개된다. 신화와 관료제, 민주주의와 인권이라는 ‘상상의 질서’가 문명을 일으킨 역사를 증언하기 위해 프란츠 카프카, 공자, 토머스 제퍼슨, 존 레넌, 마거릿 대처 등 역사적 인물들이 화려하게 등장한다.",1,국내도서-인문
12,9788933870693,29433467,설민석의 조선왕조실록,"19,800원","1,100원",설민석,세계사,"대한민국 대표 한국사 강사 설민석이 27명의 조선의 왕들을 한 권으로 불러 모아 핵심적인 주요 사건들을 풀어썼다. 설민석 특유의 흡입력 있는 간결함과 재치 있는 말투를 그대로 책에 녹여냈고, 책 중간중간의 질의응답 구성을 통해 바로 앞에서 강연을 듣고 있다는 느낌을 준다.",1,국내도서-역사
13,9791130641973,104743285,승자의 DNA,"16,200원",900원,앤드루 로버츠/문수혜,다산북스,"“어느 시대나 ‘이것’을 가진 자들이 승리를 쟁취했다!” 런던 킹스칼리지 전쟁사 교수가 30년간 연구한 승리의 제1법칙 * 역사학계 노벨상 ‘울프슨상’ 수상 작가 * ‘LA타임스문학상’ 수상 * ‘영국군사전쟁문학상’ 수상 헨리 키신저가 극찬한 세계 최고의 전쟁사학자, 미국과 유럽이 열광한 가장 냉철하고 우아한 역사학자, 영국 왕실의 ‘살아 숨 쉬는 보석’ 앤드루 로버츠의 최신작! “앤드루 로버츠는 지난 100년간 영국이 배출한 가장 위대한 역사가이다.",1,국내도서-인문
14,9791164842254,97408954,메트로폴리스,"24,300원","1,350원",벤 윌슨/박수철/박진빈,매일경제신문사,"아테네, 로마, 암스테르담, 바그다드, 런던, 파리, 뉴욕… 6,000년간 인류 문명을 꽃피운 26개 도시로 떠나는 세계사 대항해 - 도시는 어떻게 탄생했으며, 어떻게 인류의 삶을 지배했는가? - 정치, 국제교역, 기술발전, 예술 등 문명의 결실은 도시 역사 속 어떻게 잉태되는가? - 기후변화와 팬데믹 등 위기를 넘어 미래 도시가 나아갈 방향은 어디인가? 도시의 역사는 곧 인류의 역사다. 기원전 4000년, 최초의 도시가 탄생한 이래, 정치ㆍ경제ㆍ문화ㆍ종교ㆍ예술 등 인류의 모든 문명은 곧 도시의 발전과 그 궤적을 함께해왔다. 이 책은 인간의 가장 위대한 발명품인 도시의 역사를 통해 인류문명사의 발전을 따라가보고, 팬데믹과 환경오염 등 치명적인 위기에 직면한 도시와 인류 문명의 나아갈 방향에 대해서 이야기한다.",1,국내도서-역사
