순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9791168030046,104105212,갯마을 차차차 1,"16,200원",900원,신하은,북로그컴퍼니,"바닷가 마을 공진 사람들의 가슴 따뜻한 휴먼 스토리 [갯마을 차차차] 작가판 무삭제 대본집 출간 [갯마을 차차차]는 사람 냄새가 짙게 나지만, 현실에서는 좀처럼 만날 수 없는 사람들의 이야기다. 올곧은 인생철학과 서로를 향한 뜨거운 체온을 지닌 사람들이 얽히고설켜서 살아가는 공진. 최저시급 일꾼이지만 어디든 달려가 누구보다 일 잘하는 홍두식, 돈과 성공을 최우선으로 여기지만 홍두식을 만나 서서히 행복의 척도를 옮겨나가는 윤혜진, 완벽한 덕업일치형 스타 PD이자 무해한 사람 지성현 등이 공진 사람들과 어우러지며 내면 깊은 상처를 치유하고 ‘사는 맛’이 뭔지를 알아간다. [아르곤], [문집], [왕이 된 남자]까지 매 작품 새로운 장르에 도전하며 호평을 받은 신하은 작가는 이번 [갯마을 차차차]를 통해 ‘알고 나면 사랑할 수밖에 없는’ 생동감 있는 캐릭터들을 그려내며 다시 한번 탄탄한 완성도를 보여주었다.",1,국내도서-예술
2,9791168030053,104105224,갯마을 차차차 2,"16,200원",900원,신하은,북로그컴퍼니,"바닷가 마을 공진 사람들의 가슴 따뜻한 휴먼 스토리 [갯마을 차차차] 작가판 무삭제 대본집 출간 [갯마을 차차차]는 사람 냄새가 짙게 나지만, 현실에서는 좀처럼 만날 수 없는 사람들의 이야기다. 올곧은 인생철학과 서로를 향한 뜨거운 체온을 지닌 사람들이 얽히고설켜서 살아가는 공진. 최저시급 일꾼이지만 어디든 달려가 누구보다 일 잘하는 홍두식, 돈과 성공을 최우선으로 여기지만 홍두식을 만나 서서히 행복의 척도를 옮겨나가는 윤혜진, 완벽한 덕업일치형 스타 PD이자 무해한 사람 지성현 등이 공진 사람들과 어우러지며 내면 깊은 상처를 치유하고 ‘사는 맛’이 뭔지를 알아간다. [아르곤], [문집], [왕이 된 남자]까지 매 작품 새로운 장르에 도전하며 호평을 받은 신하은 작가는 이번 [갯마을 차차차]를 통해 ‘알고 나면 사랑할 수밖에 없는’ 생동감 있는 캐릭터들을 그려내며 다시 한번 탄탄한 완성도를 보여주었다.",1,국내도서-예술
3,9791191825152,104812148,365일 명화 일력,"16,920원",940원,김영숙,빅피시,"매혹적인 명화와 함께하는 1년 365일 만년 일력 “이 그림 앞에 머물 수 있었기에, 인생의 10년은 행복할 것이다.” 렘브란트의 작품 [유대인 신부]를 보고 반 고흐가 남긴 이 말처럼, 때로 한 점의 명화는 처음 본 순간부터 감동이 사라지는 그날까지 오래 마음에 남아 살아갈 힘을 주고, 일상의 빛이 되어준다. 미술관을 자주 찾기 어려워진 요즈음이지만 『365일 명화 일력』과 함께라면, 매일 바로 내 책상 위에서 세계의 눈부신 명화들을 손쉽게 만나볼 수 있다. 아직 휴일의 여운이 가시지 않은 월요일부터 한 주간 애쓴 나를 돌보고 싶은 일요일까지, 이 책은 각 요일에 꼭 필요한 리듬과 감성의 명화들을 풍성하게 담고 있어 매일 보는 것만으로도 행복해지는 시간을 선사한다. 예술 분야 스테디셀러 『세상의 모든 지식이 내 것이 되는 1페이지 미술 365』의 저자인 김영숙 작가의 친절하고도 재미있는 해설은 이 책에서 만날 수 있는 또 하나의 기쁨이다.",1,국내도서-예술
4,9788968331862,63038113,방구석 미술관,"15,120원",840원,조원재,블랙피쉬,"미술교양 입문서 최초 100쇄! 최장 기간 예술 분야 베스트셀러 국립중앙도서관 추천도서 선정 세상에서 가장 술술 읽히는 미술책! 『방구석 미술관』이 어느덧 100쇄를 맞이했습니다. 『방구석 미술관』은 2018년 출간 이래 방송과 광고업계에까지 ‘방구석 신드롬’과 미술 열풍을 일으킨 원조 미술책으로, ‘미술은 고상하고 우아한 사람들의 전유물’이라고 생각했던 대중들을 미술에 흠뻑 빠지게 만들며 지금까지 큰 사랑을 받고 있다. 최장 기간 예술 베스트셀러?스테디셀러를 차지하며 새로운 미술 교양의 지평을 연 이 책이 2021년, 드디어 100쇄를 돌파했다. 『방구석 미술관』이 오래도록 독자들에게 사랑받는 이유는 “미술은 누구나 쉽고 재밌게 가지고 놀 수 있는 장난감”이라는 모토 아래, 멀게만 느껴졌던 화가들을 인간미 넘치는 ‘형’과 ‘누나’로 만드는 작가 조원재의 재기발랄한 스토리텔링에 있을 것이다.",1,국내도서-예술
5,9788983928580,104228037,듄 : 메이킹 필름북,"31,500원","1,750원",타냐 라푸앵트/김승욱,문학수첩,"‘천재 감독’ 드니 빌뇌브와 최고의 SF 소설이 조우하다! 영화사에 남을 최고의 SF 영화 [듄]의 세계를 이해하고 즐기기 위한 필수품 같은 책 감독, 스태프, 주요 배우들의 인터뷰를 담은 영화제작 현장의 생생한 기록들 프랭크 허버트의 소설 [듄]은 지금까지 가장 많이 팔린 SF 고전이다. 그동안 이 대작을 영화로 만들기 위해 도전한 세계적인 감독도 여럿이 있다. 1970년대, 처음 영화 제작에 나섰던 알레한드로 조도로프스키 감독은 [듄]을 두어 시간짜리 영화로 만드는 건 원작에 대한 모독이라며 10시간 이상의 상영시간을 고집하다가 무산되었다. 1980년대, 제작자의 제안을 받아들여 리들리 스콧이 감독을 맡았다가 중도에 사임하고 데이비드 린치가 연출을 맡아 개봉하게 되지만 찬사보다는 편집에 아쉬움이 많이 남는 영화로 평가받고 말았다.",1,국내도서-예술
6,9788968332845,95308338,방구석 미술관 2 : 한국,"16,650원",920원,조원재,블랙피쉬,"“반 고흐는 아는데 왜 김환기는 모를까요?” 20세기 한국미술의 거장들을 이제 방구석에서 만나다! 『방구석 미술관』은 2018년 출간 이래 방송과 광고업계에까지 ‘방구석 신드롬’과 미술 열풍을 일으킨 원조 미술책으로, ‘미술은 고상하고 우아한 사람들의 전유물’이라고 생각했던 대중들을 미술에 흠뻑 빠지게 만들며 지금까지 큰 사랑을 받고 있다. 최장 기간 예술 베스트셀러·스테디셀러를 차지하며 새로운 미술 교양의 지평을 연 이 책이 2021년, 드디어 100쇄를 돌파했다. 『방구석 미술관』이 서구 중심의 미술계 거장들을 다루었다면, 『방구석 미술관 2 : 한국』은 20~21세기 한국미술의 거장 10인을 방구석으로 소환해 그들의 삶과 작품세계를 집요하게 추적한다. 미술계의 원조 월드클래스 이응노, ‘여자도 사람이다’를 외친 신여성 나혜석, 한국 미술품 경매 사상 132억이라는 최고가를 기록한 김환기, 온갖 해프닝과 퍼포먼스의 달인이었던 비디오아트의 선구자 백남준까지!",1,국내도서-예술
7,9788931588507,82898608,김락희의 인체 드로잉,"31,500원",350원,김락희/윤관현,성안당,"美 마블 社에서 활약 중인 김락희 작가의 인체 드로잉 핵심 강의! 도형화부터 해부학, 동세까지 단계별로 배운다! 김락희의 인체 드로잉 국내에서 유튜브 드로잉 채널을 운영하면서 드로잉 강의를 하고 있으며 미 마블 사의 애니메이션 캐릭터 작업도 하고 있는 김락희 작가가 드로잉 입문자를 위한 인체 해부학 입문서를 출간하였다. 드로잉을 공부할 때 인체 해부학을 모르고서는 그림의 기본을 다질 수 없으므로 이 책은 인체의 도형화부터 시작해 해부학을 공부하고 동세(動勢)를 단계별로 강의한다. 특히 인체 비례와 균형까지 한눈에 들어와야 한다는 저자의 고집으로 A4 사이즈 가로 크기로 과감하게 판형을 결정하여 보기 드문 해부학 드로잉 입문서를 탄생시켰다.",1,국내도서-예술
8,9791187113515,104863037,가가미 다카히로가 알려주는 손 그리는 법,"19,800원","1,100원",가가미 다카히로/박현정,이아소,"[유희왕]의 천재 애니메이터가 오로지 책에서만 알려주는 특별한 손 그리기 방법 [유희왕], [루팡 3세], [원피스 극장판], [데스노트], [절대가련 칠드런] 등의 작품을 통해 전 세계적으로 이름을 알린 애니메이션 작화감독 가가미 다카히로! 『가가미 다카히로가 알려주는 손 그리는 법』은 애니메이션 마니아 사이에서 ‘작화의 신’이라 불리는 천재 작가가 처음으로 펴낸 손 그리기 기법서다. 책에는 오로지 ‘손’을 그릴 때 알아야 할 정보로 알차게 채워져 있다. 손은 뼈 구조가 복잡한 데다 움직임과 표현이 다양해 프로들도 까다롭다고 하는 인체 부위다. 가가미 씨는 눈높이를 철저하게 아마추어에 맞춰, 이 책 한 권으로 손 그리기의 기본부터 묘사법, 표현 요령, 연출 방법 등 핵심 노하우를 차근차근 배울 수 있도록 했다. 또한 손을 그릴 때 초보자들이 특히 많이 실수하는 부분까지 함께 비교해 보여준다.",1,국내도서-예술
9,9791155813843,103291221,사울 레이터의 모든 것,"19,800원","1,100원",사울 레이터/조동섭,윌북(willbook),"뉴욕이 낳은 전설, 사울 레이터 사진 에세이 한국어판 정식 출간 60년 만에 세상에 알려진 천재 포토그래퍼 사울 레이터의 작품과 언어를 담은 사진 에세이다. 사진과 회화로 구성된 대표작 230점과 그의 남긴 말들을 집대성한, 그야말로 ‘사울 레이터의 모든 것’이다. 컬러 사진의 선구자, 슈타이들이 우연히 발견한 거장, 영화 [캐롤]의 시작점, 뉴욕이 낳은 전설... 사울 레이터를 수식하는 말들은 지금도 보는 이들에 의해 재탄생되고 있다. 과감한 구도와 강렬한 색감, 몽환적 분위기와 서정적 감성이 어우러진 그의 작품은 사진이라기보다 이야기이며 한 편의 시다. 책에는 작품뿐 아니라 그만의 생각을 담은 문장들이 함께 실려 있어 사진집 이상의 울림을 준다. 스튜디오보다 거리, 유명인보다 행인, 연출된 장면보다 평범한 일상, 빛보다 비를 더 사랑하여 “나에게 철학은 없다. 다만 카메라가 있을 뿐”이라고 말했던 진짜 포토그래퍼.",1,국내도서-예술
10,9788954683364,104828259,룬의 아이들 일러스트집,"31,500원","1,750원",나카가와 유케이,엘릭시르,"‘룬의 아이들’과 떠나는 또 하나의 여행 아름다운 세계관과 개성 넘치는 캐릭터, 유려한 문체와 깊이 있는 감성으로 한국 판타지를 이끌어온 전민희 작가의 대표작 『룬의 아이들』의 공식 일러스트집이 마침내 엘릭시르에서 출간된다. 게임 그래픽디자인, 만화, 일러스트 및 원화까지 다양한 분야에서 활동중인 작가 나카가와 유케이는 2006년 일본에 소개된 1부 『룬의 아이들-윈터러』의 표지 일러스트를 담당하게 된 것을 시작으로 ‘룬의 아이들’과 오랜 인연을 쌓아왔다. 그후 2018년부터 출간되고 있는 『룬의 아이들-블러디드』의 표지 일러스트까지 담당하면서 현재에는 한국의 ‘룬의 아이들’ 독자들에게도 널리 알려지고 사랑받고 있다. 이번에 최초 출간되는 『룬의 아이들 일러스트집: A Voyage with the Children』은 작가 나카가와 유케이가 지난 10여 년간 그려온 작품을 한데 모은다.",1,국내도서-예술
